INDEX page=1 episodes=20 total=20
INDEX page=2 episodes=20 total=40
INDEX page=3 episodes=20 total=60
INDEX page=4 episodes=20 total=80
INDEX page=5 episodes=20 total=100
INDEX page=6 episodes=20 total=120
INDEX page=7 episodes=20 total=140
INDEX page=8 episodes=20 total=160
INDEX page=9 episodes=20 total=180
INDEX page=10 episodes=20 total=200
INDEX page=11 episodes=20 total=220
INDEX page=12 episodes=8 total=228
INDEX page=13 episodes=1 total=228
SAVED 29/228 world-renowned-physicist-the-truth-about-aliens-ufos-are-definitely-robotic-michio-kaku (379 paragraphs)
SAVED 30/228 fatty-liver-expert-your-liver-is-filling-with-fat-right-now-dr-david-unwin (600 paragraphs)
SAVED 31/228 most-replayed-moment-the-link-between-weight-gain-and-sleep-are-sleep-trackers-harmful-or-helpful (78 paragraphs)
SAVED 32/228 ufo-roundtable-cia-physicist-proves-aliens-exist (282 paragraphs)
SAVED 33/228 pulitzer-prize-historian-you-won-t-notice-until-it-s-too-late (201 paragraphs)
SAVED 34/228 most-replayed-moment-this-is-the-best-exercise-protocol-for-women (167 paragraphs)
SAVED 35/228 ww3-expert-this-could-trigger-global-starvation (442 paragraphs)
SAVED 36/228 scott-galloway-ai-wasn-t-built-for-you (261 paragraphs)
SAVED 37/228 most-replayed-moment-neil-degrasse-tyson-on-the-future-of-humanity-will-we-ever-go-to-mars (67 paragraphs)
SAVED 38/228 money-expert-buying-a-house-is-a-mistake-becoming-rich-is-simple-but-you-won-t-do-it (383 paragraphs)
SAVED 39/228 sex-scientist-phone-addiction-is-killing-your-sex-life-more-than-porn (280 paragraphs)
SAVED 40/228 most-replayed-moment-neuroscientist-s-proof-of-life-after-death-dr-tara-swart (77 paragraphs)
SAVED 41/228 stanford-neuroscientist-can-t-remember-your-dreams-your-brain-may-be-warning-you (244 paragraphs)
SAVED 42/228 the-peptide-expert-big-pharma-are-hiding-this-powerful-peptide-from-you-dr (373 paragraphs)
SAVED 43/228 most-replayed-moment-insulin-is-the-reason-you-re-gaining-fat-how-to-lower-it-now (55 paragraphs)
SAVED 44/228 world-collapse-expert-ian-bremmer-the-real-crisis-is-what-comes-after-trump (277 paragraphs)
SAVED 45/228 the-iran-war-expert-the-most-dangerous-stage-begins-now (207 paragraphs)
SAVED 46/228 most-replayed-moment-your-thoughts-shape-your-reality-how-to-rewrite-limiting-beliefs (61 paragraphs)
SAVED 47/228 ivanka-trump-my-dad-told-me-two-weeks-before-he-ran-for-president (207 paragraphs)
SAVED 48/228 financial-crash-expert-in-3-months-we-ll-enter-a-famine-if-iran-doesn-t-surrender-it-s-the-end (430 paragraphs)
SAVED 49/228 most-replayed-moment-mouthwash-reverses-the-benefits-of-exercise-dr-nathan-bryan (107 paragraphs)
SAVED 50/228 pierre-poilievre-the-next-prime-minister-of-canada-the-economy-is-about-to-collapse (380 paragraphs)
SAVED 51/228 david-sinclair-can-aging-be-reversed-after-8-weeks-cells-appeared-75-younger-in-tests (394 paragraphs)
SAVED 52/228 most-replayed-moment-the-direct-path-to-purpose-and-happiness-these-2-decisions-matter-most (45 paragraphs)
SAVED 53/228 manipulation-expert-how-to-influence-anyone-make-them-do-exactly-what-you-want-chase-hughes (226 paragraphs)
SAVED 54/228 daniel-priestley-plumbers-will-earn-more-than-lawyers-i-predicted-2008-now-i-m-warning-about-2029 (247 paragraphs)
SAVED 55/228 most-replayed-moment-the-antibiotic-alternative-big-pharma-doesn-t-want-you-to-know (69 paragraphs)
SAVED 56/228 the-iran-war-expert-i-simulated-the-iran-war-for-20-years (197 paragraphs)
SAVED 57/228 no-dd1cd084-c6da-4eb3-92e5-e27e6251728e (315 paragraphs)
SAVED 58/228 most-replayed-moment-stressed-about-money-nischa-s-step-by-step-guide-to-financial-security (108 paragraphs)
SAVED 59/228 ww3-threat-assessment-trump-bombing-iran-just-increased-nuclear-war-threat-the-terrifying-reality (461 paragraphs)
SAVED 60/228 top-cia-security-advisor-jeffrey-epstein-epstein-was-a-made-up-person-they-can-see-your-messages (195 paragraphs)
SAVED 61/228 most-replayed-moment-your-excuses-will-destroy-you-to-be-disciplined-is-to-be-free (54 paragraphs)
SAVED 62/228 pregnancy-diet-expert-the-pregnancy-diet-that-rewrites-dna-why-pregnant-moms-are-being-lied-to (245 paragraphs)
SAVED 63/228 uber-ceo-at-uber-if-you-don-t-perform-you-re-out-uber-was-losing-3b-a-year (246 paragraphs)
SAVED 64/228 most-replayed-moment-can-creatine-offset-sleep-deprivation-is-it-really-the-best-supplement (45 paragraphs)
SAVED 65/228 the-greatest-climber-alive-i-shouldn-t-have-attempted-that-climb (394 paragraphs)
SAVED 66/228 brain-rot-emergency-these-internal-documents-prove-they-re-controlling-you (289 paragraphs)
SAVED 67/228 most-replayed-moment-buddhist-monk-reveals-how-to-break-free-from-pain-and-anger (46 paragraphs)
SAVED 68/228 world-no (301 paragraphs)
SAVED 69/228 human-sleep-expert-don-t-pee-in-the-middle-of-the-night-why-night-time-sex-isn-t-a-good-idea (505 paragraphs)
SAVED 70/228 most-replayed-moment-is-there-a-safe-amount-of-alcohol-what-happens-to-the-body-when-you-drink (80 paragraphs)
SAVED 71/228 cognitive-decline-expert-the-disease-that-starts-in-your-30s-but-kills-you-in-your-70s (342 paragraphs)
SAVED 72/228 i-met-an-uncontacted-tribe-they-killed-my-friend (531 paragraphs)
SAVED 73/228 most-replayed-moment-the-fastest-way-to-lose-fat-without-losing-muscle-dr-andy-galpin (33 paragraphs)
SAVED 74/228 early-retirement-expert-a-house-vs-stocks-here-s-the-truth (230 paragraphs)
SAVED 75/228 the-microbiome-doctor-doctors-were-wrong-the-3-foods-you-should-eat-for-perfect-gut-health (199 paragraphs)
SAVED 76/228 most-replayed-moment-how-to-talk-about-money-with-your-partner-the-mistakes-most-couples-make (47 paragraphs)
SAVED 77/228 the-man-warning-the-west-trump-is-changing-the-world-behind-the-scenes (241 paragraphs)
SAVED 78/228 cia-whistleblower-they-can-see-all-your-messages-i-was-under-surveillance-in-pakistan (337 paragraphs)
SAVED 79/228 most-replayed-moment-here-s-what-happens-when-a-nuclear-bomb-drops-these-countries-will-be-safe (39 paragraphs)
SAVED 80/228 tony-robbins-no-one-is-ready-for-what-s-coming-why-the-next-decade-will-break-people (260 paragraphs)
SAVED 81/228 passive-income-expert-buying-a-house-makes-you-poorer-than-renting-crypto-isn-t-a-smart-investment (324 paragraphs)
SAVED 82/228 most-replayed-moment-your-food-could-be-making-you-depressed-how-diet-impacts-mental-health (52 paragraphs)
SAVED 83/228 top-insulin-expert-insulin-is-more-dangerous-than-sugar-this-will-strip-fat-faster-than-anything (304 paragraphs)
SAVED 84/228 dopamine-expert-short-form-videos-are-frying-people-don-t-understand-this-is-a-dopamine-disaster (227 paragraphs)
SAVED 85/228 most-replayed-moment-make-2026-your-best-year-yet-5-daily-practices-for-health-and-happiness (57 paragraphs)
SAVED 86/228 leaky-gut-expert-this-gut-mistake-leads-to-cancer (344 paragraphs)
SAVED 87/228 chris-williamson-if-you-don-t-fix-this-now-2026-is-already-over (313 paragraphs)
SAVED 88/228 most-replayed-moment-is-modern-parenting-causing-adhd-your-decisions-shape-your-child-s-mind (46 paragraphs)
SAVED 89/228 this-is-the-fastest-way-to-get-dementia (147 paragraphs)
SAVED 90/228 the-gaslighting-conversation-expert-this-is-a-sign-you-ll-divorce-in-10-years (395 paragraphs)
SAVED 91/228 most-replayed-moment-foot-health-expert-reveals-the-best-shoes-for-strength-and-mobility (43 paragraphs)
SAVED 92/228 creator-of-ai-we-have-2-years-before-everything-changes-these-jobs-won-t-exist-in-24-months (191 paragraphs)
SAVED 93/228 harvard-s-behaviour-expert-the-psychology-of-why-people-don-t-like-you (474 paragraphs)
SAVED 94/228 natalie-dawson-the-harsh-reality-of-passive-income-this-ppf-framework-10x-s-your-income-in-5-years (233 paragraphs)
SAVED 95/228 most-replayed-moment-don-t-brush-your-teeth-after-sugar-the-best-oral-care-routine (70 paragraphs)
SAVED 96/228 no-3953d101-5b0d-4253-a1bd-97f87d708951 (259 paragraphs)
SAVED 97/228 brene-brown-we-re-in-a-spiritual-crisis-the-hidden-epidemic-no-one-wants-to-admit (267 paragraphs)
SAVED 98/228 most-replayed-moment-calories-in-calories-out-is-a-myth-why-most-diets-fail-dr (32 paragraphs)
SAVED 99/228 kamala-harris-america-is-at-breaking-point-i-m-deeply-concerned-about-the-state-of-the-country (299 paragraphs)
SAVED 100/228 longevity-debate-the-truth-about-weight-loss-muscle-and-creatine (637 paragraphs)
SAVED 101/228 most-replayed-moment-why-does-commitment-feel-so-scary-how-to-build-a-strong-lasting-relationship (66 paragraphs)
SAVED 102/228 oz-pearlman-mentalist-this-small-mistake-makes-people-dislike-you-they-do-this-they-re-lying (184 paragraphs)
SAVED 103/228 jurgen-klopp-would-you-go-back-to-manage-lfc (321 paragraphs)
SAVED 104/228 most-replayed-moment-are-your-household-and-beauty-products-secretly-toxic-dr-yvonne-burkart (71 paragraphs)
SAVED 105/228 women-s-fertility-lifestyle-debate-dangers-of-not-having-a-period-fasting-can-backfire-for-women (771 paragraphs)
SAVED 106/228 neil-degrasse-tyson-the-brutal-truth-about-astrology-our-breath-contains-molecules-jesus-inhaled (295 paragraphs)
SAVED 107/228 most-replayed-moment-the-7-day-training-blueprint-to-live-longer-peter-attia (62 paragraphs)
SAVED 108/228 louis-tomlinson-the-room-was-cold-that-day-when-the-police-knocked (242 paragraphs)
SAVED 109/228 financial-expert-passive-income-is-a-scam-post-traumatic-broke-syndrome-is-controlling-millions (286 paragraphs)
SAVED 110/228 most-replayed-moment-sadhguru-on-why-you-don-t-need-a-life-purpose (60 paragraphs)
SAVED 111/228 no-1d5bd189-2d70-4a54-8ef9-44e61b6213ae (283 paragraphs)
SAVED 112/228 atheist-vs-christian-vs-spiritual-thinker-the-paperclip-problem-that-exposes-religion (736 paragraphs)
SAVED 113/228 most-replayed-moment-captivate-a-room-even-if-you-re-shy-vinh-giang (96 paragraphs)
SAVED 114/228 secret-agent-evy-poumpouras-never-be-yourself-at-work-authenticity-is-quietly-sabotaging-you-evy-poumpouras (298 paragraphs)
SAVED 115/228 the-insulin-heart-doctor-the-fastest-way-to-burn-dangerous-visceral-fat (279 paragraphs)
SAVED 116/228 most-replayed-moment-can-eye-movements-heal-trauma-bessel-van-der-kolk-explains-emdr-therapy (80 paragraphs)
SAVED 117/228 matthew-mcconaughey-the-silent-crisis-no-one-is-talking-about-the-harsh-truth-about-living-without-faith (203 paragraphs)
SAVED 118/228 no (457 paragraphs)
SAVED 119/228 most-replayed-moment-how-to-be-charismatic-and-gain-the-edge-in-any-room-charlie-houpert (53 paragraphs)
SAVED 120/228 ray-dalio-we-re-heading-into-very-very-dark-times-america-the-uk-s-decline-is-coming (190 paragraphs)
SAVED 121/228 the-diabetes-doctor-80-of-adults-are-heading-for-chronic-disease-keto-s-shocking-effect-on-your-brain (183 paragraphs)
SAVED 122/228 most-replayed-moment-this-longevity-protocol-actually-works-biohacker-bryan-johnson (76 paragraphs)
SAVED 123/228 roman-yampolskiy-these-are-the-only-5-jobs-that-will-remain-in-2030-proof-we-re-living-in-a-simulation (304 paragraphs)
SAVED 124/228 water-fasting-scientist-surprising-link-between-fasting-cancer-fasting-completely-resets-your-gut-microbiome (178 paragraphs)
SAVED 125/228 most-replayed-moment-6-daily-habits-that-expose-your-fake-values-deepak-chopra (50 paragraphs)
SAVED 126/228 former-cia-spies-the-cia-tried-to-ban-this-story-we-re-leaving-the-us-by-2030 (565 paragraphs)
SAVED 127/228 the-public-speaking-expert-this-speaking-mistake-makes-people-ignore-you-these-small-mistakes-make-you-unlikeable (676 paragraphs)
SAVED 128/228 moment-203-how-to-actually-become-disciplined-without-willpower-the-leading-behaviour-expert (24 paragraphs)
SAVED 129/228 the-ageing-doctor-these-are-they-early-signs-of-arthritis-if-you-run-don-t-do-this-start-now-the-secret-cause-of-alzheimer-s (340 paragraphs)
SAVED 130/228 clinical-social-worker-hidden-dangers-of-daycare-it-might-be-causing-future-issues-for-your-kid-birth-rates-are-plummeting-its-terrifying-dr-erica-komisar (295 paragraphs)
SAVED 131/228 child-attachment-expert-hidden-dangers-of-daycare-it-might-be-causing-future-issues-for-your-kid-birth-rates-are-plummeting-its-terrifying-dr-erica-komisar (258 paragraphs)
SAVED 132/228 moment-202-former-mafia-boss-exposes-how-the-real-mafia-kills-people (29 paragraphs)
SAVED 133/228 former-spy-if-you-re-easily-offended-you-re-easily-manipulated-psychological-trick-that-makes-people-respect-you-this-1-trick-catches-a-lie-in-seconds (278 paragraphs)
SAVED 134/228 moment-201-harvard-psychiatrist-reveals-the-1-foods-you-must-stop-eating-to-heal-your-brain (27 paragraphs)
SAVED 135/228 mrbeast-if-you-want-to-be-liked-don-t-help-people-i-lost-tens-of-millions-on-beast-games (309 paragraphs)
SAVED 136/228 behavioural-psychologist-we-re-not-having-enough-sex-fat-makes-you-attractive-the-poorer-you-are-the-friendlier-you-are (294 paragraphs)
SAVED 137/228 moment-200-love-expert-reveals-why-80-of-modern-relationships-fail (19 paragraphs)
SAVED 138/228 the-man-that-makes-millionaires-turn-100-to-10k-with-this-step-by-step-formula-build-an-audience-from-0-followers-alex-hormozi (463 paragraphs)
SAVED 139/228 the-no-06101af0-44e6-463c-83f6-b406b1663079 (297 paragraphs)
SAVED 140/228 moment-199-5-warning-signs-your-body-needs-more-nutrients-mindy-pelz (45 paragraphs)
SAVED 141/228 the-insulin-glucose-doctor-this-will-strip-fat-faster-than-anything-the-fastest-way-to-alzheimer-s-the-link-between-sugar-cancer-dr-benjamin-bikman (378 paragraphs)
SAVED 142/228 the-insulin-glucose-doctor-this-will-strip-fat-faster-than-anything-ozempic-is-causing-osteoporosis-the-fastest-way-to-alzheimer-s-dr-benjamin-bikman (378 paragraphs)
SAVED 143/228 charisma-teacher-psychology-of-why-people-don-t-like-you-people-are-attracted-to-these-traits-the-secret-to-being-instantly-likeable (359 paragraphs)
SAVED 144/228 paul-brunson-women-need-to-lower-their-standards-if-they-have-these-3-traits-never-let-them-go-if-you-get-sick-there-s-a-624-chance-he-ll-leave (316 paragraphs)
SAVED 145/228 leading-nutritional-scientist-seed-oils-are-not-bad-for-you-eating-this-twice-a-day-will-help-menopause-the-alarming-link-between-chewing-belly-fat (528 paragraphs)
SAVED 146/228 moment-197-the-10-minute-rule-that-beats-any-bad-habit-this-weird-trick-forms-good-habits-instantly-professor-steve-peters-nir-eyal (59 paragraphs)
SAVED 147/228 emergency-debate-what-trump-s-return-really-means-for-america-the-real-reason-men-voted-for-trump-is-the-uk-about-to-collapse (117 paragraphs)
SAVED 148/228 the-money-making-expert-the-7-11-4-hack-that-turns-1-into-10k-per-month-this-90-day-rule-will-10x-your-income-daniel-priestley (592 paragraphs)
SAVED 149/228 moment-196-this-is-the-one-skill-that-will-guarantee-your-success-even-against-smarter-better-richer-people-codie-sanchez (38 paragraphs)
SAVED 150/228 carnivore-diet-specialist-what-the-keto-diet-is-really-doing-to-your-body-can-it-cure-43-of-mental-illnesses-the-truth-about-the-keto-diet (322 paragraphs)
SAVED 151/228 keto-diet-specialist-what-the-keto-diet-is-really-doing-to-your-body-can-it-cure-43-of-mental-illnesses-the-truth-about-the-keto-diet (323 paragraphs)
SAVED 152/228 moment-195-10-things-your-poo-says-about-your-health-the-no (38 paragraphs)
SAVED 153/228 jordan-b-peterson-you-need-to-listen-to-your-wife-we-ve-built-a-lonely-sexless-society-if-you-your-partner-do-this-you-ll-divorce (753 paragraphs)
SAVED 154/228 moment-195-10-things-your-stool-says-about-your-health-the-no (38 paragraphs)
SAVED 155/228 sex-infertility-expert-you-need-to-grow-your-sex-span-this-is-killing-your-fertility-this-daily-habit-transforms-your-sex-life (227 paragraphs)
SAVED 156/228 the-exercise-nutrition-scientist-the-truth-about-exercising-on-your-period-women-were-right-about-menopause-these-4-supplements-give-women-optimal-health (565 paragraphs)
SAVED 157/228 moment-194-how-to-get-rich-slowly-scott-galloway (32 paragraphs)
SAVED 158/228 the-dopamine-expert-doing-this-once-a-day-fixes-your-dopamine-what-alcohol-is-really-doing-to-your-brain-your-childhood-shapes-future-addictions (538 paragraphs)
SAVED 159/228 the-top-7-money-making-hacks-for-2025-that-are-proven-to-work-do-not-buy-a-house-do-this-instead (205 paragraphs)
SAVED 160/228 moment-193-hard-work-doesn-t-equal-success-try-this-instead (12 paragraphs)
SAVED 161/228 the-leading-body-language-behaviour-expert-manipulation-tricks-the-military-use-5-signs-someone-is-lying-to-you-this-is-making-you-less-likeable-chase-hughes (303 paragraphs)
SAVED 162/228 the-body-trauma-expert-medicating-kids-can-harm-brain-development-eye-movement-trick-that-fixes-trauma-the-secret-to-emdr-therapy-bessel-van-der-kolk (394 paragraphs)
SAVED 163/228 moment-192-the-fire-in-the-booth-that-would-have-destroyed-my-brand-charlie-sloth (37 paragraphs)
SAVED 164/228 dr-8913fd12-01a5-4b98-b1c0-e5cc15723340 (576 paragraphs)
SAVED 165/228 martha-beck-oprah-s-life-coach-i-nearly-died-so-i-stopped-lying-why-you-re-anxious-how-to-fix-it-fix-your-childhood-trauma (571 paragraphs)
SAVED 166/228 reid-hoffman-linkedin-founder-it-s-time-to-quit-your-job-when-you-feel-this-selling-linkedin-for-26-billion-taught-me-this-about-life-trump-is-going-to-punish-me (990 paragraphs)
SAVED 167/228 moment-191-inside-nike-s-branding-genius-lessons-for-building-an-iconic-brand-greg-hoffman (37 paragraphs)
SAVED 168/228 the-body-language-expert-stop-using-this-it-s-making-people-dislike-you-so-are-these-subtle-mistakes-your-resting-face-matters-how-to-fix-it (1165 paragraphs)
SAVED 169/228 moment-190-everything-you-definitely-don-t-know-about-marketing-but-should-from-4-world-leading-experts (130 paragraphs)
SAVED 170/228 orgasm-queen-do-this-for-20-minutes-before-having-sex-have-sex-with-them-like-when-you-first-met-i-never-orgasmed-until-he-tried-this (578 paragraphs)
SAVED 171/228 brian-keating-i-m-spending-200-million-to-explore-why-we-exist-how-god-fits-into-science-finally-explained-is-god-real (511 paragraphs)
SAVED 172/228 moment-189-this-is-the-real-reason-you-can-t-change-your-life-doctor-alok-kanojia (82 paragraphs)
SAVED 173/228 oestrogen-expert-birth-control-changes-who-you-are (271 paragraphs)
SAVED 174/228 steven-shares-his-secret-diary-dealing-with-liam-payne-s-death-my-big-relationship-issue-these-4-words-saved-me (59 paragraphs)
SAVED 175/228 steven-shares-s-his-secret-diary-dealing-with-liam-payne-s-death-my-big-relationship-issue-these-4-words-saved-me (58 paragraphs)
SAVED 176/228 ex-pentagon-official-the-u (281 paragraphs)
SAVED 177/228 the-divorce-expert-slippage-is-tearing-marriages-apart-if-kids-are-your-top-priority-you-spot-this-you-ll-divorce-in-1-3-years (381 paragraphs)
SAVED 178/228 brain-doctor-these-popular-sports-are-causing-brain-damage-the-nfl-is-keeping-this-devastating-disease-quiet (191 paragraphs)
SAVED 179/228 the-big-porn-debate-3-experts-debate-the-unseen-dangers-of-nofap-the-adult-industry-is-exploiting-our-brains-how-porn-will-change-your-brain (375 paragraphs)
SAVED 180/228 moment-183-the-warning-signs-your-body-needs-more-nutrients-dr-mindy-pelz (48 paragraphs)
SAVED 181/228 trevor-noah-my-depression-was-linked-to-adhd-why-i-left-the-daily-show (447 paragraphs)
SAVED 182/228 ramit-sethi-never-split-the-bill-it-s-a-red-flag-renting-isn-t-wasting-money (321 paragraphs)
SAVED 183/228 extended-moment-guy-raz-why-99-of-businesses-fail-this-secret-made-apple-pixar-elon-musk-billions (113 paragraphs)
SAVED 184/228 exclusive-boris-johnson-they-were-looking-at-engineering-the-virus-and-the-government-tried-to-bribe-me (469 paragraphs)
SAVED 185/228 the-groundbreaking-cancer-expert-new-research-this-common-food-is-making-cancer-worse-cancer-is-getting-worse-worldwide-it-might-not-be-genetic-it-s-your-diet (251 paragraphs)
SAVED 186/228 moment-182-how-to-make-people-respect-you-in-seconds-evy-poumpouras (17 paragraphs)
SAVED 187/228 the-no-5283994f-52f8-4ad5-b587-b6c9e00ece90 (239 paragraphs)
SAVED 188/228 the-brain-rot-dr-we-re-all-getting-more-narcissistic (364 paragraphs)
SAVED 189/228 moment-181-neuroscientist-s-top-5-worst-habits-that-are-destroying-your-brain-wendy-suzuki (22 paragraphs)
SAVED 190/228 glucose-goddess-the-alarming-new-truth-about-grapes-these-10-hacks-to-strip-fat-without-exercise-this-will-dramatically-reduce-glucose-spikes (372 paragraphs)
SAVED 191/228 the-gottman-doctors-affairs-can-actually-save-your-relationship-but-if-you-see-this-it-s-time-to-walk-away (399 paragraphs)
SAVED 192/228 moment-179-how-to-stop-stress-from-killing-you-mo-gowdat (46 paragraphs)
SAVED 193/228 the-muscle-building-expert-creatine-loading-is-a-waste-of-time-they-re-lying-to-you-about-workout-hours-dr-michael-israetel (275 paragraphs)
SAVED 194/228 the-cancelled-professor-husbands-are-more-dangerous-than-you-think-men-are-hardwired-to-cheat-science-proves-monogamy-isn-t-real-gad-saad (434 paragraphs)
SAVED 195/228 moment-178-they-re-lying-to-about-low-fat-foods-this-is-what-they-re-doing-tim-spector (9 paragraphs)
SAVED 196/228 yuval-noah-harari-this-election-will-tear-the-country-apart-ai-will-control-you-by-2034-the-dark-truth-behind-meta-x (210 paragraphs)
SAVED 197/228 david-epstein-10-000-hours-is-a-lie-the-morning-habit-that-s-secretly-ruining-your-day (298 paragraphs)
SAVED 198/228 moment-177-you-re-not-lazy-this-is-the-real-reason-you-procrastinate-the-performance-doctor (30 paragraphs)
SAVED 199/228 andrew-huberman-you-must-control-your-dopamine-the-shocking-truth-about-cold-showers (331 paragraphs)
SAVED 200/228 the-dating-doctor-start-dating-like-it-s-your-job-dating-apps-are-impacting-us-more-than-we-realise (406 paragraphs)
SAVED 201/228 moment-176-5-red-flags-of-a-secret-narcissist-the-narcissism-doctor (28 paragraphs)
SAVED 202/228 arianna-huffington-i-was-lying-in-a-little-pool-of-blood-the-huffington-post-a-1-billion-flop (306 paragraphs)
SAVED 203/228 moment-175-how-to-build-a-routine-you-ll-actually-stick-to-navy-seal-jocko-willink (16 paragraphs)
SAVED 204/228 former-mafia-boss-i-was-running-the-biggest-scam-in-the-world-1 (402 paragraphs)
SAVED 205/228 ozempic-expert-ozempic-increases-this-disease-by-a-factor-of-9-they-re-lying-to-you-about-ozempic-side-effects-what-it-s-doing-to-our-brains-johann-hari (284 paragraphs)
SAVED 206/228 moment-159-the-most-important-sex-advice-you-need-to-hear-esther-perel (18 paragraphs)
SAVED 207/228 mo-gawdat-80-of-illness-is-linked-to-one-thing-an-alarming-warning-for-the-burnout-generation-if-you-feel-like-this-quit-your-job-today (437 paragraphs)
SAVED 208/228 world-no-1-biohacking-expert-i-tested-100-000-people-s-dna-this-diet-will-kill-you (246 paragraphs)
SAVED 209/228 moment-158-what-is-the-best-cheap-coffee-coffee-expert-reveals-in-blind-taste-test-james-hoffman (52 paragraphs)
SAVED 210/228 special-forces-commander-s-weird-trick-for-overcoming-anxiety-this-is-the-reason-people-quit-imposter-syndrome-is-a-good-thing (210 paragraphs)
SAVED 211/228 jimmy-carr-i-was-laughing-crying-when-he-died (308 paragraphs)
SAVED 212/228 moment-157-the-money-expert-s-investment-strategy-no-one-is-talking-about-morgan-housel (23 paragraphs)
SAVED 213/228 the-longevity-expert-the-truth-about-ozempic-the-magic-weight-loss-drug-the-link-between-milk-cancer (292 paragraphs)
SAVED 214/228 moment-143-this-is-why-you-can-t-lose-weight-daniel-lieberman (43 paragraphs)
SAVED 215/228 the-fitness-scientist-even-a-little-alcohol-is-hurting-your-health-late-night-screen-time-linked-to-cancer-working-shifts-kills-you-15-years-early-kristen-holmes (283 paragraphs)
SAVED 216/228 the-poo-scientist-if-your-poo-looks-like-this-go-to-a-doctor-your-gut-health-causes-belly-fat-anxiety-alcohol-is-destroying-your-gut-microbiome (256 paragraphs)
SAVED 217/228 the-love-expert-we-ve-built-a-loveless-society-it-s-making-us-depressed-here-s-the-fix-alain-de-botton (139 paragraphs)
SAVED 218/228 the-top-7-belly-fat-burning-hacks-for-2024-that-are-proven-to-work (171 paragraphs)
SAVED 219/228 moment-141-what-coffee-is-really-doing-to-your-sleep-matthew-walker (10 paragraphs)
